a,b,c,d,e,f,g,h,i
0,2.2656,-3.3252,1.109,309.37,-226.22,-90.458,301.43,10.308
0.0007,2.627,-3.1885,0.6085,310.35,-166.82,-150.6,301.43,10.519
0.0014,2.9102,-2.8271,-0.034351,305.91,-98.014,-213.22,301.44,10.73
0.0021,3.1592,-2.2607,-0.83914,289.63,-25.741,-268.39,301.45,10.941
0.0028,3.3447,-1.6748,-1.5998,256.08,42.572,-302.69,301.45,11.152
0.0035,3.374,-1.0742,-2.2279,205.75,101.97,-313.62,301.45,11.363
0.0042,3.1055,-0.52734,-2.5321,145.06,162.37,-313.12,301.44,11.574
0.0049,2.6709,0.13672,-2.7922,75.985,224.74,-305.67,301.45,11.785
0.0056,2.041,0.97168,-3.0032,3.4539,275.73,-285.29,301.45,11.996
0.0063,1.4355,1.7383,-3.175,-62.169,304.44,-249.5,301.44,12.207
0.007,0.8252,2.3438,-3.1652,-119.4,310.87,-196.82,301.44,12.418
0.0077,0.25391,2.6221,-2.8805,-180.09,307.9,-132.7,301.44,12.629
0.0084,-0.48828,2.8662,-2.4045,-241.28,298,-63.122,301.43,12.84
0.0091,-1.2939,3.0811,-1.8304,-286.67,274.24,6.4613,301.42,13.051
0.0098,-1.9922,3.2471,-1.2955,-310.85,237.11,69.086,301.41,13.262
0.0105,-2.5342,3.2422,-0.75081,-315.29,182.66,128.23,301.41,13.473
0.0112,-2.7979,2.9297,-0.17666,-311.83,114.84,191.35,301.41,13.684
0.0119,-3.0713,2.4219,0.58887,-300.49,42.572,251,301.4,13.895
0.0126,-3.252,1.7822,1.4035,-271.87,-28.216,291.25,301.4,14.106
0.0133,-3.3447,1.2451,2.0316,-225.98,-89.104,308.65,301.4,14.317
0.014,-3.1982,0.68848,2.4634,-167.27,-148.01,310.14,301.4,14.527
0.0147,-2.7832,0.053711,2.7088,-100.66,-210.88,304.67,301.39,14.738
0.0154,-2.207,-0.7666,2.9591,-28.618,-266.82,287.78,301.38,14.949
0.0161,-1.5381,-1.5771,3.1112,40.459,-301.96,258.45,301.38,15.16
0.0168,-1.0059,-2.1729,3.175,98.682,-313.35,210.74,301.37,15.371
0.0175,-0.41504,-2.5781,3.0032,156.41,-313.35,147.62,301.38,15.582
0.0182,0.23926,-2.8076,2.5812,219.57,-306.42,79.523,301.37,15.793
0.0189,1.084,-3.0615,2.0218,272.85,-285.13,9.9404,301.36,16.004
0.0196,1.8555,-3.2227,1.4035,302.46,-253.45,-56.66,301.36,16.215
0.0203,2.4023,-3.2666,0.91765,309.86,-204.44,-116.8,301.35,16.426
0.021,2.7588,-3.0713,0.36313,309.37,-138.11,-175.95,301.35,16.637
0.0217,2.9932,-2.6074,-0.32878,302.95,-66.828,-237.58,301.35,16.848
0.0224,3.2568,-2.002,-1.1875,276.31,2.9701,-286.78,301.34,17.059
0.0231,3.3545,-1.3916,-1.8942,236.34,67.323,-310.64,301.33,17.27
0.0238,3.2812,-0.89844,-2.326,182.56,128.71,-312.63,301.34,17.481
0.0245,2.9541,-0.27344,-2.645,116.44,189.1,-311.14,301.35,17.692
0.0252,2.4316,0.45898,-2.8658,43.913,247.01,-300.7,301.35,17.903
0.0259,1.7822,1.333,-3.1063,-25.164,291.07,-271.87,301.34,18.114
0.0266,1.1475,2.041,-3.1848,-84.866,310.38,-228.63,301.34,18.325
0.0273,0.62988,2.4414,-3.0719,-144.57,309.88,-171.47,301.34,18.536
0.028,-0.039062,2.7344,-2.7039,-207.23,304.44,-104.37,301.36,18.747
0.0287,-0.7959,2.9443,-2.1837,-261.51,290.58,-32.803,301.36,18.958
0.0294,-1.6504,3.1934,-1.5899,-299.99,260.88,34.294,301.36,19.169
0.0301,-2.2754,3.2666,-1.0354,-315.29,215.33,93.44,301.37,19.38
0.0308,-2.6318,3.1494,-0.56924,-314.3,154.94,154.08,301.38,19.591
0.0315,-2.9297,2.749,0.12759,-308.38,85.143,218.19,301.38,19.802
0.0322,-3.1494,2.1826,0.90784,-290.62,12.375,269.88,301.4,20.013
0.0329,-3.3691,1.5674,1.7323,-255.09,-54.452,301.2,301.4,20.224
0.0336,-3.3057,0.97656,2.272,-202.3,-113.36,310.64,301.4,20.435
0.0343,-3.0566,0.44922,2.5616,-140.62,-174.25,308.65,301.41,20.646
0.035,-2.5537,-0.29297,2.8266,-71.051,-236.12,299.21,301.41,20.856
0.0357,-1.9531,-1.0938,3.0278,2.467,-283.65,277.84,301.41,21.067
0.0364,-1.3379,-1.8799,3.2191,65.13,-309.88,240.56,301.41,21.278
0.0371,-0.73242,-2.4121,3.1455,121.38,-315.33,184.89,301.42,21.489
0.0378,-0.16113,-2.6758,2.8413,184.04,-310.87,120.28,301.43,21.7
0.0385,0.63965,-2.9395,2.326,244.73,-298.5,50.696,301.43,21.911
0.0392,1.3965,-3.1299,1.7666,287.66,-274.24,-19.881,301.44,22.122
0.0399,2.1533,-3.3252,1.217,306.9,-235.63,-82.009,301.45,22.333
0.0406,2.6074,-3.2275,0.66738,311.83,-177.22,-139.66,301.45,22.544
0.0413,2.8662,-2.9004,0.083423,307.39,-108.41,-202.29,301.46,22.755
